,0,1,2,3,4,5
company_5945,-0.19431771016298055,-0.15183564011631312,0.4702473901426524,1.2479726391865902,-0.5261045365147318,0.7491671036596866
company_5025,0.38067053062692036,-0.4412628255607412,0.1619205740976001,-0.7586183307540851,-0.24187036431197564,-0.3878081338111081
company_1727,0.40206045025535736,-0.4382265938509969,0.20112366366965803,-0.8012909937915508,-0.22415803931717007,-0.3965041529854067
company_5616,0.14325578089683927,-0.5468599841625392,0.12281824436757702,1.09680788488541,-0.19103882015352883,0.41128497278826165
company_5024,0.33100404911245157,-0.4717956561594672,0.23725668186637508,-0.6981226710135031,-0.281056576394954,-0.36730517754957864
company_6900,0.2859276092448032,-0.3593151959496029,0.0801766931888517,-0.7593854691287906,-0.31385779510282485,-0.43455359694590084
company_4379,0.32529394751842183,-0.4614507544340171,0.23049744582282108,-0.7004835336358801,-0.28821903404991595,-0.3595894501675899
company_4136,0.3749508447222891,-0.4466884422355127,0.2102929443707399,-0.7668291483247496,-0.245603785045898,-0.3889162619947629
company_6814,0.2146317889226217,-0.5489537990060857,0.2777899041893628,-0.4842143383806553,-0.3768855147172237,-0.29427479374673565
company_6744,-0.12302182769056161,0.1358654526265228,-0.4221633971861708,0.09454054326263887,0.6928447750562795,0.0011304499078738422
company_5872,0.33874224871539443,-0.45963877924604457,0.22667214810216016,-0.7166401756879278,-0.2762654221541028,-0.3683285374777086
company_5887,0.27031563792251967,-0.5556208181757215,0.20131374454808382,-0.4868284967503699,-0.3378822973062428,-0.27136627873858205
company_5069,0.330115182651714,-0.5096438207000852,0.15456278188679742,-0.5912317360627503,-0.29093231267927494,-0.3009144166379388
company_3895,0.31630076949941516,-0.4739365497510256,0.24047866158809164,-0.6813705949049934,-0.2932249251185215,-0.36194113861920074
company_3316,0.32322884432184373,-0.558890595208568,0.005347939903005862,-0.42054838544426315,-0.3133633104055892,-0.188941557488422
company_6102,0.40206045025535736,-0.4382265938509969,0.20112366366965803,-0.8012909937915508,-0.22415803931717007,-0.3965041529854067
company_793,0.40206045025535736,-0.4382265938509969,0.20112366366965803,-0.8012909937915508,-0.22415803931717007,-0.3965041529854067
company_5054,0.40206045025535736,-0.4382265938509969,0.20112366366965803,-0.8012909937915508,-0.22415803931717007,-0.3965041529854067
company_6454,-0.1409521175326478,-0.7752979170641696,0.4328868114314428,0.13454164346019573,-0.6650920129731549,-0.0989218211525927
company_6743,-0.2780287999415743,0.3348335058366977,-0.7442395968970577,0.05508659783312247,1.2163833242399678,-0.3254612850559034
company_4296,0.3522384331836275,-0.4704894843319561,0.16019777064220797,-0.6706530467745168,-0.2743447421470153,-0.3207776430647946
company_2286,0.3039592102638401,-0.4776646717407455,0.2455839030862608,-0.6647944385679827,-0.3038367445304222,-0.35452427378636064
company_1394,0.3752814516323316,-0.4469153489207979,0.21055817315529618,-0.7668517547020972,-0.24538342910630404,-0.3886380875490654
company_5173,0.2653989506629887,0.20436038740500478,0.38399760736776384,-0.1763967890249061,-0.32214744142914997,-0.0895684281339463
company_863,0.33033511784200936,-0.3403066912169,0.11081080933928358,-0.7230295234587754,-0.025962080085802,-0.4028595795652892
company_1207,0.40206045025535736,-0.4382265938509969,0.20112366366965803,-0.8012909937915508,-0.22415803931717007,-0.3965041529854067
company_3304,0.010316959942856028,-0.7406712028701822,0.3098882738078007,-0.004452190107809296,-0.5481543565418447,-0.11985915354823394
company_2155,0.35929987768693333,-0.44654039472147583,0.21219920132259992,-0.75071381874025,-0.25925966543472934,-0.3811571166934355
company_7165,0.15097922575829967,-0.15739834220777904,0.03217740198105934,-0.7168823074478262,-0.40390143247760885,-0.5094572017268764
company_6996,0.2912336088131801,-0.4989748097592955,0.22838162377850943,-0.6069268457084279,-0.31809281452214727,-0.32098777201630396
company_5524,0.40206045025535736,-0.4382265938509969,0.20112366366965803,-0.8012909937915508,-0.22415803931717007,-0.3965041529854067
company_6545,-0.3615408836800633,0.6600705096096933,-0.6925502614513878,-0.10834101130777209,1.1286059919267797,-0.29287724420421024
